Product Name,Category,Sales Amount,Quantity Sold,Sale Date,Region,Customer Type
iPhone 14,Electronics,999.99,150,2024-01-15,North America,Premium
Samsung Galaxy S23,Electronics,899.99,120,2024-01-16,Europe,Premium
MacBook Pro,Electronics,1999.99,80,2024-01-17,North America,Premium
Dell Laptop,Electronics,799.99,200,2024-01-18,Asia,Standard
Wireless Headphones,Electronics,199.99,300,2024-01-19,North America,Standard
Coffee Maker,Home & Kitchen,89.99,250,2024-01-20,Europe,Standard
Blender,Home & Kitchen,129.99,180,2024-01-21,Asia,Standard
Air Fryer,Home & Kitchen,149.99,220,2024-01-22,North America,Premium
Running Shoes,Sports,119.99,400,2024-01-23,Europe,Standard
Yoga Mat,Sports,29.99,500,2024-01-24,Asia,Standard
Protein Powder,Sports,49.99,350,2024-01-25,North America,Premium
Gaming Chair,Furniture,299.99,100,2024-01-26,Europe,Premium
Office Desk,Furniture,199.99,150,2024-01-27,Asia,Standard
Bookshelf,Furniture,89.99,120,2024-01-28,North America,Standard
Table Lamp,Home & Kitchen,39.99,300,2024-01-29,Europe,Standard
Smart Watch,Electronics,249.99,180,2024-01-30,Asia,Premium
Bluetooth Speaker,Electronics,79.99,250,2024-02-01,North America,Standard
Kitchen Scale,Home & Kitchen,24.99,200,2024-02-02,Europe,Standard
Dumbbells,Sports,99.99,150,2024-02-03,Asia,Premium
Office Chair,Furniture,149.99,180,2024-02-04,North America,Standard
